# t  B_z_curl_0  B_z_curl_1  B_z_curl_2  B_z_curl_3  B_z_curl_4  B_z_curl_5  B_z_curl_6  B_z_curl_7  B_z_curl_8  B_z_curl_9  B_z_curl_10  B_z_curl_11  B_z_curl_12  B_z_curl_13  B_z_curl_14  B_z_curl_15  B_z_curl_16  B_z_curl_17  B_z_curl_18  B_z_curl_19  B_z_curl_20  B_z_curl_21  B_z_curl_22  B_z_curl_23  B_z_curl_24  B_z_curl_25  B_z_curl_26  B_z_curl_27  B_z_curl_28  B_z_curl_29  B_z_curl_30  B_z_curl_31  B_z_curl_32  B_z_curl_33  B_z_curl_34  B_z_curl_35  B_z_curl_36  B_z_curl_37  B_z_curl_38  B_z_curl_39  B_z_curl_40  B_z_curl_41  B_z_curl_42  B_z_curl_43  B_z_curl_44  B_z_curl_45
8.11338 6.196e-14 6.08692e-14 -2.46242e-13 -2.09813e-13 5.11849e-13 0 3.42173e-13 -4.44091e-13 -1.82392e-13 0 1.55168e-13 -1.03714e-14 -2.3862e-13 0 -9.42536e-14 4.07421e-19 -1.5478e-13 0 1.5478e-13 -3.46621e-13 3.46621e-13 0 -4.8166e-13 1.57391e-13 -8.60029e-14 4.30014e-14 -6.23929e-13 3.56595e-13 2.09251e-13 2.3862e-13 0 -5.94118e-13 3.80498e-13 -2.4792e-13 2.54069e-13 4.88585e-13 1.82392e-13 0 6.87607e-14 -7.45958e-14 -4.52083e-13 2.09813e-13 0 -1.65227e-13 -5.11849e-13 0
8.5822 2.16568e-13 -5.80823e-14 -1.42677e-13 -1.30757e-13 3.68172e-13 0 3.5649e-13 -3.74647e-13 -1.01246e-13 0 1.56843e-13 6.81911e-14 -1.80332e-13 0 -1.10841e-13 4.51106e-19 -1.35024e-13 0 1.35024e-13 -2.3774e-13 2.3774e-13 0 -2.03754e-13 2.14467e-14 1.65646e-14 -8.28236e-15 -6.75214e-13 3.53245e-13 8.53003e-14 1.80332e-13 0 -3.61927e-13 2.61394e-13 -2.45649e-13 1.91186e-13 4.04332e-13 1.01246e-13 0 2.94172e-13 -2.40356e-13 -5.64351e-13 1.30757e-13 0 -1.30431e-13 -3.68172e-13 0
9.05101 3.6449e-13 -1.76013e-13 -4.08837e-14 -5.36879e-14 2.269e-13 0 3.67396e-13 -3.05931e-13 -1.92744e-14 0 1.53589e-13 1.46728e-13 -1.19645e-13 0 -1.29834e-13 4.86714e-19 -1.13931e-13 0 1.13931e-13 -1.31793e-13 1.31793e-13 0 6.64938e-14 -1.12855e-13 1.24774e-13 -6.23872e-14 -7.17643e-13 3.48078e-13 -3.37853e-14 1.19645e-13 0 -1.34248e-13 1.46733e-13 -2.37561e-13 1.24595e-13 3.26171e-13 1.92745e-14 0 5.13389e-13 -3.97618e-13 -6.64654e-13 5.36884e-14 0 -9.51066e-14 -2.269e-13 0
9.51983 5.01427e-13 -2.89759e-13 5.62078e-14 1.9052e-14 9.2706e-14 0 3.74516e-13 -2.40171e-13 6.14064e-14 0 1.45119e-13 2.23432e-13 -5.80938e-14 0 -1.51293e-13 5.12195e-19 -9.21164e-14 0 9.21163e-14 -3.2214e-14 3.22144e-14 0 3.20672e-13 -2.4167e-13 2.36864e-13 -1.18432e-13 -7.50051e-13 3.41381e-13 -1.44275e-13 5.80936e-14 0 8.16703e-14 4.04988e-14 -2.23222e-13 5.5782e-14 2.57392e-13 -6.14063e-14 0 7.20027e-13 -5.41435e-13 -7.49791e-13 -1.90515e-14 0 -6.04919e-14 -9.27067e-14 0
9.98865 6.236e-13 -3.96368e-13 1.45926e-13 8.53549e-14 -3.00643e-14 0 3.77593e-13 -1.79401e-13 1.38786e-13 0 1.31359e-13 2.9663e-13 2.78632e-15 0 -1.75204e-13 5.25717e-19 -7.02179e-14 0 7.02178e-14 5.78877e-14 -5.78874e-14 0 5.51123e-13 -3.61415e-13 3.51033e-13 -1.75517e-13 -7.71695e-13 3.33461e-13 -2.4285e-13 -2.78656e-15 0 2.79122e-13 -5.3707e-14 -2.02388e-13 -1.37131e-14 2.00856e-13 -1.38786e-13 0 9.08232e-13 -6.67436e-13 -8.17225e-13 -8.53544e-14 0 -2.78234e-14 3.00636e-14 0
10.4575 7.27861e-13 -4.93177e-13 2.25922e-13 1.43401e-13 -1.37524e-13 0 3.76513e-13 -1.25413e-13 2.11012e-13 0 1.12458e-13 3.64818e-13 6.14978e-14 0 -2.0147e-13 5.25733e-19 -4.88785e-14 0 4.88785e-14 1.35821e-13 -1.3582e-13 0 7.51167e-13 -4.68877e-13 4.65465e-13 -2.32733e-13 -7.82287e-13 3.24639e-13 -3.26695e-13 -6.14981e-14 0 4.52138e-13 -1.32775e-13 -1.75043e-13 -8.23272e-14 1.58919e-13 -2.11012e-13 0 1.07287e-12 -7.71969e-13 -8.65175e-13 -1.43401e-13 0 1.70268e-15 1.37523e-13 0
10.9263 8.11777e-13 -5.77888e-13 2.94218e-13 1.91703e-13 -2.26353e-13 0 3.71326e-13 -7.97243e-14 2.76427e-13 0 8.87929e-14 4.26684e-13 1.16614e-13 0 -2.299e-13 5.11304e-19 -2.87298e-14 0 2.87297e-14 1.99384e-13 -1.99383e-13 0 9.15286e-13 -5.61297e-13 5.78341e-13 -2.89171e-13 -7.82007e-13 3.15251e-13 -3.93566e-13 -1.16615e-13 0 5.95658e-13 -1.94174e-13 -1.41426e-13 -1.48499e-13 1.33367e-13 -2.76427e-13 0 1.20966e-12 -8.52203e-13 -8.92665e-13 -1.91702e-13 0 2.69688e-14 2.26352e-13 0
11.3951 8.73677e-13 -6.48615e-13 3.4924e-13 2.29128e-13 -2.93891e-13 0 3.62257e-13 -4.35549e-14 3.3361e-13 0 6.09625e-14 4.81128e-13 1.66812e-13 0 -2.6021e-13 4.81788e-19 -1.03741e-14 0 1.0374e-14 2.46918e-13 -2.46918e-13 0 1.03926e-12 -6.36444e-13 6.87857e-13 -3.43929e-13 -7.71501e-13 3.05647e-13 -4.41833e-13 -1.66813e-13 0 7.05663e-13 -2.36016e-13 -1.02047e-13 -2.10698e-13 1.2539e-13 -3.3361e-13 0 1.31532e-12 -9.0621e-13 -8.99553e-13 -2.29127e-13 0 4.69728e-14 2.93891e-13 0
11.8639 9.12676e-13 -7.03926e-13 3.89836e-13 2.54916e-13 -3.38202e-13 0 3.49716e-13 -1.78163e-14 3.81392e-13 0 2.97691e-14 5.2727e-13 2.109e-13 0 -2.92019e-13 4.37232e-19 5.63154e-15 0 -5.63157e-15 2.7734e-13 -2.7734e-13 0 1.12025e-12 -6.92666e-13 7.92239e-13 -3.96119e-13 -7.51846e-13 2.96189e-13 -4.70499e-13 -2.10901e-13 0 7.79267e-13 -2.57093e-13 -5.7697e-14 -2.6745e-13 1.35562e-13 -3.81392e-13 0 1.38765e-12 -9.33002e-13 -8.8651e-13 -2.54916e-13 0 6.08616e-14 3.38202e-13 0
12.3327 9.28665e-13 -7.42868e-13 4.15281e-13 2.68678e-13 -3.58113e-13 0 3.34297e-13 -3.11229e-15 4.18881e-13 0 -3.80596e-15 5.64452e-13 2.47843e-13 0 -3.2485e-13 3.7803e-19 1.87911e-14 0 -1.87912e-14 2.90151e-13 -2.90151e-13 0 1.15685e-12 -7.28919e-13 8.8976e-13 -4.4488e-13 -7.24514e-13 2.87246e-13 -4.79201e-13 -2.47844e-13 0 8.14776e-13 -2.56895e-13 -9.4464e-15 -3.17368e-13 1.63858e-13 -4.18881e-13 0 1.42552e-12 -9.32535e-13 -8.54977e-13 -2.68678e-13 0 6.79612e-14 3.58113e-13 0
