# SCF level flow: eigenvalue spectrum vs self-consistency iteration
# U_eV=11.2 hartree=1 hartree_onsite=0 homo_index=46 n_states=92 n_samples=1087 stride=2 iters=2171
# iter  state_index  energy_eV  occupation  spin(+1=up,-1=dn)
8 53 4.0092 0 1
8 54 4.22411 0 1
8 55 4.22747 0 -1
8 56 4.42166 0 -1
8 57 4.42995 0 1
8 58 4.42995 0 1
8 59 4.43042 0 -1
8 60 4.43042 0 -1
8 61 4.43547 0 1
8 62 4.89483 0 1
8 63 4.89483 0 1
8 64 4.90821 0 -1
8 65 4.90821 0 -1
8 66 5.12877 0 -1
8 67 5.13622 0 1
8 68 5.14351 0 -1
8 69 5.14351 0 -1
8 70 5.15188 0 1
8 71 5.15188 0 1
8 72 5.94763 0 1
8 73 5.99016 0 -1
8 74 6.05142 0 1
8 75 6.07391 0 -1
8 76 6.13986 0 -1
8 77 6.13986 0 -1
8 78 6.15151 0 1
8 79 6.15151 0 1
8 80 7.11009 0 1
8 81 7.11009 0 1
8 82 7.13073 0 -1
8 83 7.13073 0 -1
8 84 7.20952 0 1
8 85 7.21682 0 -1
8 86 8.08464 0 1
8 87 8.08464 0 1
8 88 8.09074 0 -1
8 89 8.09074 0 -1
8 90 8.79763 0 -1
8 91 8.80793 0 1
10 0 -7.77194 1 1
10 1 -7.7609 1 -1
10 2 -7.11633 1 1
10 3 -7.11633 1 1
10 4 -7.0814 1 -1
10 5 -7.0814 1 -1
10 6 -6.26563 1 1
10 7 -6.23209 1 -1
10 8 -6.181 1 1
10 9 -6.181 1 1
10 10 -6.11996 1 -1
10 11 -6.11996 1 -1
10 12 -5.20943 1 1
10 13 -5.20943 1 1
10 14 -5.18515 1 -1
10 15 -5.18515 1 -1
10 16 -5.16168 1 1
10 17 -5.07482 1 -1
10 18 -5.04195 1 1
10 19 -4.9455 1 -1
10 20 -4.2394 1 1
10 21 -4.2394 1 1
10 22 -4.19101 1 1
10 23 -4.18231 1 -1
10 24 -4.18231 1 -1
10 25 -4.17149 1 -1
10 26 -3.97571 1 1
10 27 -3.97571 1 1
10 28 -3.88101 1 -1
10 29 -3.88101 1 -1
10 30 -3.50318 1 -1
10 31 -3.50318 1 -1
10 32 -3.50195 1 1
10 33 -3.48752 1 1
10 34 -3.48752 1 1
10 35 -3.45019 1 -1
10 36 -3.26345 1 1
10 37 -3.25988 1 -1
10 38 -3.07905 1 1
10 39 -3.07905 1 1
10 40 -2.97426 1 -1
10 41 -2.97426 1 -1
10 42 -2.44857 1 1
10 43 -2.44857 1 1
10 44 -2.40729 1 1
10 45 -2.38392 1 1
10 46 3.3921 1 -1
10 47 3.41065 0 -1
10 48 3.41065 0 -1
10 49 3.45531 0 -1
10 50 4.11186 0 -1
10 51 4.11186 0 -1
10 52 4.12537 0 1
10 53 4.12537 0 1
10 54 4.33569 0 1
10 55 4.33885 0 -1
10 56 4.5256 0 -1
10 57 4.53685 0 -1
10 58 4.53685 0 -1
10 59 4.53731 0 1
10 60 4.53731 0 1
10 61 4.54356 0 1
10 62 5.00474 0 1
10 63 5.00474 0 1
10 64 5.02142 0 -1
10 65 5.02142 0 -1
10 66 5.23728 0 -1
10 67 5.24704 0 1
10 68 5.24804 0 -1
10 69 5.24804 0 -1
10 70 5.2595 0 1
10 71 5.2595 0 1
10 72 6.05286 0 1
10 73 6.10589 0 -1
10 74 6.15384 0 1
10 75 6.18088 0 -1
10 76 6.24271 0 -1
10 77 6.24271 0 -1
10 78 6.25803 0 1
10 79 6.25803 0 1
10 80 7.21395 0 1
10 81 7.21395 0 1
10 82 7.23902 0 -1
10 83 7.23902 0 -1
10 84 7.31441 0 1
10 85 7.32321 0 -1
10 86 8.1907 0 1
10 87 8.1907 0 1
10 88 8.19759 0 -1
10 89 8.19759 0 -1
10 90 8.90621 0 -1
10 91 8.91962 0 1
12 0 -7.67714 1 1
12 1 -7.66393 1 -1
12 2 -7.02904 1 1
12 3 -7.02904 1 1
12 4 -6.98765 1 -1
12 5 -6.98765 1 -1
12 6 -6.18102 1 1
12 7 -6.14181 1 -1
12 8 -6.09937 1 1
12 9 -6.09937 1 1
12 10 -6.02712 1 -1
12 11 -6.02712 1 -1
12 12 -5.12644 1 1
12 13 -5.12644 1 1
12 14 -5.09837 1 -1
12 15 -5.09837 1 -1
12 16 -5.08567 1 1
12 17 -4.9831 1 -1
12 18 -4.96621 1 1
12 19 -4.85196 1 -1
12 20 -4.16296 1 1
12 21 -4.16296 1 1
12 22 -4.11084 1 1
12 23 -4.09527 1 -1
12 24 -4.09527 1 -1
12 25 -4.08797 1 -1
12 26 -3.90019 1 1
12 27 -3.90019 1 1
12 28 -3.78923 1 -1
12 29 -3.78923 1 -1
12 30 -3.42274 1 -1
12 31 -3.42274 1 -1
12 32 -3.42257 1 1
12 33 -3.40478 1 1
12 34 -3.40478 1 1
12 35 -3.36147 1 -1
12 36 -3.18174 1 1
12 37 -3.1759 1 -1
12 38 -3.00612 1 1
12 39 -3.00612 1 1
12 40 -2.88268 1 -1
12 41 -2.88268 1 -1
12 42 -2.38804 1 1
12 43 -2.38804 1 1
12 44 -2.33939 1 1
12 45 -2.31048 1 1
12 46 3.49696 1 -1
12 47 3.5192 0 -1
12 48 3.5192 0 -1
12 49 3.57228 0 -1
12 50 4.22126 0 -1
12 51 4.22126 0 -1
12 52 4.23699 0 1
12 53 4.23699 0 1
12 54 4.4431 0 1
12 55 4.44574 0 -1
12 56 4.62543 0 -1
12 57 4.6391 0 -1
12 58 4.6391 0 -1
12 59 4.64084 0 1
12 60 4.64084 0 1
12 61 4.64764 0 1
12 62 5.11034 0 1
12 63 5.11034 0 1
12 64 5.13019 0 -1
12 65 5.13019 0 -1
12 66 5.34153 0 -1
12 67 5.34852 0 -1
12 68 5.34852 0 -1
12 69 5.35373 0 1
12 70 5.36321 0 1
12 71 5.36321 0 1
12 72 6.15402 0 1
12 73 6.2171 0 -1
12 74 6.25241 0 1
12 75 6.28366 0 -1
12 76 6.34147 0 -1
12 77 6.34147 0 -1
12 78 6.3605 0 1
12 79 6.3605 0 1
12 80 7.31382 0 1
12 81 7.31382 0 1
12 82 7.34302 0 -1
12 83 7.34302 0 -1
12 84 7.41528 0 1
12 85 7.42544 0 -1
12 86 8.29265 0 1
12 87 8.29265 0 1
12 88 8.30013 0 -1
12 89 8.30013 0 -1
12 90 9.01027 0 -1
12 91 9.02681 0 1
14 0 -7.58666 1 1
14 1 -7.57127 1 -1
14 2 -6.94568 1 1
14 3 -6.94568 1 1
14 4 -6.89799 1 -1
14 5 -6.89799 1 -1
14 6 -6.10011 1 1
14 7 -6.05553 1 -1
14 8 -6.02149 1 1
14 9 -6.02149 1 1
14 10 -5.93838 1 -1
14 11 -5.93838 1 -1
14 12 -5.04713 1 1
14 13 -5.04713 1 1
14 14 -5.0155 1 -1
14 15 -5.0155 1 -1
14 16 -5.01313 1 1
14 17 -4.89536 1 -1
14 18 -4.89403 1 1
14 19 -4.76266 1 -1
14 20 -4.09017 1 1
14 21 -4.09017 1 1
14 22 -4.0343 1 1
14 23 -4.01212 1 -1
14 24 -4.01212 1 -1
14 25 -4.00829 1 -1
14 26 -3.82799 1 1
14 27 -3.82799 1 1
14 28 -3.70167 1 -1
14 29 -3.70167 1 -1
14 30 -3.34701 1 1
14 31 -3.34562 1 -1
14 32 -3.34562 1 -1
14 33 -3.32572 1 1
14 34 -3.32572 1 1
14 35 -3.27668 1 -1
14 36 -3.10395 1 1
14 37 -3.09543 1 -1
14 38 -2.9364 1 1
14 39 -2.9364 1 1
14 40 -2.7952 1 -1
14 41 -2.7952 1 -1
14 42 -2.33036 1 1
14 43 -2.33036 1 1
14 44 -2.27453 1 1
14 45 -2.24016 1 1
14 46 3.5978 1 -1
14 47 3.62359 0 -1
14 48 3.62359 0 -1
