# t  B_z_sc_0  B_z_sc_1  B_z_sc_2  B_z_sc_3  B_z_sc_4  B_z_sc_5  B_z_sc_6  B_z_sc_7  B_z_sc_8  B_z_sc_9  B_z_sc_10  B_z_sc_11  B_z_sc_12  B_z_sc_13  B_z_sc_14  B_z_sc_15  B_z_sc_16  B_z_sc_17  B_z_sc_18  B_z_sc_19  B_z_sc_20  B_z_sc_21  B_z_sc_22  B_z_sc_23  B_z_sc_24  B_z_sc_25  B_z_sc_26  B_z_sc_27  B_z_sc_28  B_z_sc_29  B_z_sc_30  B_z_sc_31  B_z_sc_32  B_z_sc_33  B_z_sc_34  B_z_sc_35  B_z_sc_36  B_z_sc_37  B_z_sc_38  B_z_sc_39  B_z_sc_40  B_z_sc_41  B_z_sc_42  B_z_sc_43  B_z_sc_44  B_z_sc_45
8.11338 5.06676e-14 -2.84521e-14 -1.29889e-13 -1.98984e-13 -2.50251e-13 -5.56175e-14 -1.58945e-13 -2.50083e-13 -5.63102e-13 -5.87658e-13 -1.25815e-13 -1.86209e-13 -4.64706e-13 -7.64639e-13 1.93336e-19 2.58692e-19 -1.70532e-13 -4.9041e-13 1.70533e-13 3.00919e-13 1.98646e-19 -3.00919e-13 -9.72491e-14 -9.83961e-14 -6.38747e-14 -7.91081e-20 -3.44984e-20 1.25815e-13 1.86209e-13 4.64706e-13 4.9041e-13 9.08588e-20 9.83962e-14 6.38746e-14 1.58945e-13 2.50083e-13 5.63102e-13 7.64639e-13 9.72492e-14 2.84519e-14 1.29889e-13 1.98984e-13 5.87659e-13 -5.0668e-14 5.5617e-14 2.50251e-13
8.5822 1.91526e-13 6.03901e-14 -1.73644e-14 1.62741e-14 2.58298e-14 1.49319e-13 -7.52899e-14 -1.49903e-13 -3.61425e-13 -2.81493e-13 -7.50908e-14 -1.20796e-13 -2.81487e-13 -4.80035e-13 2.621e-19 3.03105e-19 -4.41163e-14 -2.27903e-13 4.41166e-14 1.65697e-13 2.08195e-19 -1.65697e-13 -5.35898e-14 -7.99385e-14 -2.91071e-14 -6.01528e-20 -2.93187e-21 7.50909e-14 1.20797e-13 2.81487e-13 2.27903e-13 1.06379e-19 7.99386e-14 2.9107e-14 7.52896e-14 1.49903e-13 3.61425e-13 4.80035e-13 5.35899e-14 -6.03903e-14 1.7364e-14 -1.62743e-14 2.81493e-13 -1.91527e-13 -1.49319e-13 -2.58296e-14
9.05101 3.23504e-13 1.43185e-13 9.02463e-14 2.24324e-13 2.93197e-13 3.44709e-13 7.07893e-15 -5.13654e-14 -1.61882e-13 2.07215e-14 -2.5711e-14 -5.60943e-14 -9.8809e-14 -1.96496e-13 3.33256e-19 3.44186e-19 8.11397e-14 3.37469e-14 -8.11394e-14 3.03069e-14 2.12694e-19 -3.03069e-14 -1.30257e-14 -6.30733e-14 4.72891e-15 -4.29664e-20 2.87104e-20 2.57112e-14 5.60949e-14 9.88092e-14 -3.3747e-14 1.19532e-19 6.30735e-14 -4.72896e-15 -7.07939e-15 5.1365e-14 1.61882e-13 1.96496e-13 1.30257e-14 -1.43185e-13 -9.02467e-14 -2.24325e-13 -2.07214e-14 -3.23504e-13 -3.44709e-13 -2.93197e-13
9.51983 4.42343e-13 2.17141e-13 1.89544e-13 4.18917e-13 5.4373e-13 5.24381e-13 8.57643e-14 4.26678e-14 2.9617e-14 3.10179e-13 2.08791e-14 6.05711e-15 7.81532e-14 7.77863e-14 4.05404e-19 3.8062e-19 2.01775e-13 2.87231e-13 -2.01775e-13 -1.01386e-13 2.11224e-19 1.01386e-13 2.29474e-14 -4.85361e-14 3.66107e-14 -2.82652e-20 5.96687e-20 -2.08788e-14 -6.0565e-15 -7.8153e-14 -2.87231e-13 1.29694e-19 4.85363e-14 -3.66108e-14 -8.57649e-14 -4.26684e-14 -2.96172e-14 -7.77862e-14 -2.29475e-14 -2.17141e-13 -1.89545e-13 -4.18917e-13 -3.10179e-13 -4.42343e-13 -5.24382e-13 -5.43729e-13
9.98865 5.44373e-13 2.79865e-13 2.77517e-13 5.94442e-13 7.70076e-13 6.82856e-13 1.58557e-13 1.29588e-13 2.07599e-13 5.78722e-13 6.33978e-14 6.39739e-14 2.44557e-13 3.3514e-13 4.77096e-19 4.11263e-19 3.14577e-13 5.25681e-13 -3.14577e-13 -2.25702e-13 2.02955e-19 2.25702e-13 5.30404e-14 -3.69577e-14 6.56142e-14 -1.67131e-20 8.91744e-20 -6.33976e-14 -6.39732e-14 -2.44557e-13 -5.25681e-13 1.36315e-19 3.6958e-14 -6.56143e-14 -1.58558e-13 -1.29589e-13 -2.076e-13 -3.3514e-13 -5.30406e-14 -2.79865e-13 -2.77518e-13 -5.94442e-13 -5.78722e-13 -5.44373e-13 -6.82857e-13 -7.70076e-13
10.4575 6.26626e-13 3.29432e-13 3.51627e-13 7.46096e-13 9.65873e-13 8.15516e-13 2.23494e-13 2.07109e-13 3.67172e-13 8.19066e-13 1.0076e-13 1.16169e-13 3.96017e-13 5.68616e-13 5.46688e-19 4.35022e-19 4.16663e-13 7.42856e-13 -4.16663e-13 -3.39246e-13 1.8727e-19 3.39246e-13 7.62094e-14 -2.88453e-14 9.09397e-14 -8.77835e-21 1.16495e-19 -1.0076e-13 -1.16168e-13 -3.96017e-13 -7.42856e-13 1.38913e-19 2.88456e-14 -9.09397e-14 -2.23495e-13 -2.0711e-13 -3.67172e-13 -5.68616e-13 -7.62095e-14 -3.29432e-13 -3.51627e-13 -7.46096e-13 -8.19066e-13 -6.26626e-13 -8.15516e-13 -9.65872e-13
10.9263 6.86917e-13 3.64442e-13 4.09871e-13 8.69999e-13 1.12592e-12 9.18735e-13 2.78909e-13 2.73317e-13 5.04142e-13 1.02498e-12 1.321e-13 1.61385e-13 5.2871e-13 7.72161e-13 6.12641e-19 4.51167e-19 5.05557e-13 9.33298e-13 -5.05557e-13 -4.38998e-13 1.63874e-19 4.38998e-13 9.16838e-14 -2.45686e-14 1.11932e-13 -4.78374e-21 1.41067e-19 -1.32099e-13 -1.61384e-13 -5.2871e-13 -9.33298e-13 1.37107e-19 2.45689e-14 -1.11932e-13 -2.7891e-13 -2.73318e-13 -5.04142e-13 -7.72161e-13 -9.1684e-14 -3.64442e-13 -4.09871e-13 -8.69999e-13 -1.02498e-12 -6.86917e-13 -9.18735e-13 -1.12592e-12
11.3951 7.23902e-13 3.84045e-13 4.5083e-13 9.63287e-13 1.24629e-12 9.89973e-13 3.23465e-13 3.26708e-13 6.15106e-13 1.19144e-12 1.56785e-13 1.98612e-13 6.39459e-13 9.40755e-13 6.73476e-19 4.5918e-19 5.79241e-13 1.09246e-12 -5.79241e-13 -5.22385e-13 1.32639e-19 5.22385e-13 9.89837e-14 -2.43522e-14 1.28097e-13 -4.94135e-21 1.62349e-19 -1.56785e-13 -1.98611e-13 -6.39459e-13 -1.09246e-12 1.3075e-19 2.43524e-14 -1.28097e-13 -3.23466e-13 -3.26709e-13 -6.15107e-13 -9.40755e-13 -9.89839e-14 -3.84045e-13 -4.5083e-13 -9.63287e-13 -1.19144e-12 -7.23902e-13 -9.89973e-13 -1.24629e-12
11.8639 7.37089e-13 3.87959e-13 4.73685e-13 1.02415e-12 1.32443e-12 1.02782e-12 3.56186e-13 3.66209e-13 6.97514e-13 1.31472e-12 1.74421e-13 2.27102e-13 7.25787e-13 1.07051e-12 7.27645e-19 4.58752e-19 6.36194e-13 1.2168e-12 -6.36193e-13 -5.87345e-13 9.37946e-20 5.87345e-13 9.79246e-14 -2.82734e-14 1.39107e-13 -9.32828e-21 1.79858e-19 -1.74421e-13 -2.27101e-13 -7.25787e-13 -1.2168e-12 1.19877e-19 2.82736e-14 -1.39107e-13 -3.56187e-13 -3.6621e-13 -6.97514e-13 -1.07051e-12 -9.79248e-14 -3.87959e-13 -4.73685e-13 -1.02415e-12 -1.31472e-12 -7.37089e-13 -1.02782e-12 -1.32443e-12
12.3327 7.26828e-13 3.7645e-13 4.78219e-13 1.05186e-12 1.35919e-12 1.03203e-12 3.76461e-13 3.91179e-13 7.49694e-13 1.39244e-12 1.84845e-13 2.46372e-13 7.85959e-13 1.15871e-12 7.73731e-19 4.49878e-19 6.7541e-13 1.30383e-12 -6.7541e-13 -6.32364e-13 4.79152e-20 6.32364e-13 8.8612e-14 -3.62653e-14 1.44807e-13 -1.78269e-20 1.93212e-19 -1.84844e-13 -2.46371e-13 -7.85959e-13 -1.30383e-12 1.04627e-19 3.62656e-14 -1.44807e-13 -3.76462e-13 -3.9118e-13 -7.49694e-13 -1.15871e-12 -8.86123e-14 -3.7645e-13 -4.78219e-13 -1.05186e-12 -1.39244e-12 -7.26828e-13 -1.03203e-12 -1.35919e-12
