# t  B_z_sc_0  B_z_sc_1  B_z_sc_2  B_z_sc_3  B_z_sc_4  B_z_sc_5  B_z_sc_6  B_z_sc_7  B_z_sc_8  B_z_sc_9  B_z_sc_10  B_z_sc_11  B_z_sc_12  B_z_sc_13  B_z_sc_14  B_z_sc_15  B_z_sc_16  B_z_sc_17  B_z_sc_18  B_z_sc_19  B_z_sc_20  B_z_sc_21  B_z_sc_22  B_z_sc_23  B_z_sc_24  B_z_sc_25  B_z_sc_26  B_z_sc_27  B_z_sc_28  B_z_sc_29  B_z_sc_30  B_z_sc_31  B_z_sc_32  B_z_sc_33  B_z_sc_34  B_z_sc_35  B_z_sc_36  B_z_sc_37  B_z_sc_38  B_z_sc_39  B_z_sc_40  B_z_sc_41  B_z_sc_42  B_z_sc_43  B_z_sc_44  B_z_sc_45
8.11327 5.06342e-14 -2.84732e-14 -1.29916e-13 -1.99035e-13 -2.50315e-13 -5.56657e-14 -1.58965e-13 -2.50106e-13 -5.63149e-13 -5.87729e-13 -1.25827e-13 -1.86224e-13 -4.64748e-13 -7.64705e-13 1.93254e-19 2.5872e-19 -1.70562e-13 -4.9047e-13 1.70562e-13 3.0095e-13 1.98447e-19 -3.0095e-13 -9.72594e-14 -9.84005e-14 -6.38828e-14 -7.90499e-20 -3.5526e-20 1.25827e-13 1.86224e-13 4.64748e-13 4.9047e-13 9.20396e-20 9.84006e-14 6.38827e-14 1.58965e-13 2.50106e-13 5.63148e-13 7.64705e-13 9.72595e-14 2.8473e-14 1.29915e-13 1.99034e-13 5.87729e-13 -5.06346e-14 5.56652e-14 2.50315e-13
8.58209 1.91494e-13 6.03699e-14 -1.73904e-14 1.62241e-14 2.57657e-14 1.49271e-13 -7.53095e-14 -1.49927e-13 -3.61473e-13 -2.81564e-13 -7.51026e-14 -1.20812e-13 -2.8153e-13 -4.80102e-13 2.61853e-19 3.03078e-19 -4.4146e-14 -2.27965e-13 4.41463e-14 1.65729e-13 2.08305e-19 -1.65729e-13 -5.35998e-14 -7.99426e-14 -2.91152e-14 -6.00168e-20 -3.80469e-21 7.51027e-14 1.20812e-13 2.8153e-13 2.27965e-13 1.0761e-19 7.99428e-14 2.91151e-14 7.53092e-14 1.49927e-13 3.61472e-13 4.80102e-13 5.35998e-14 -6.037e-14 1.73899e-14 -1.62244e-14 2.81564e-13 -1.91495e-13 -1.49272e-13 -2.57655e-14
9.0509 3.23474e-13 1.43166e-13 9.02216e-14 2.24276e-13 2.93136e-13 3.44664e-13 7.05973e-15 -5.13884e-14 -1.61929e-13 2.06509e-14 -2.57225e-14 -5.61095e-14 -9.88519e-14 -1.96562e-13 3.32833e-19 3.44097e-19 8.11104e-14 3.36855e-14 -8.11101e-14 3.03388e-14 2.13082e-19 -3.03388e-14 -1.30349e-14 -6.3077e-14 4.72108e-15 -4.2756e-20 2.79866e-20 2.57227e-14 5.611e-14 9.88521e-14 -3.36856e-14 1.20808e-19 6.30772e-14 -4.72112e-15 -7.06018e-15 5.1388e-14 1.61929e-13 1.96562e-13 1.30349e-14 -1.43166e-13 -9.0222e-14 -2.24277e-13 -2.06508e-14 -3.23474e-13 -3.44665e-13 -2.93135e-13
9.51972 4.42316e-13 2.17124e-13 1.89522e-13 4.18872e-13 5.43672e-13 5.24341e-13 8.57461e-14 4.2646e-14 2.95724e-14 3.10112e-13 2.08683e-14 6.04265e-15 7.81118e-14 7.77222e-14 4.04812e-19 3.80473e-19 2.01747e-13 2.87172e-13 -2.01747e-13 -1.01356e-13 2.11884e-19 1.01356e-13 2.29395e-14 -4.85392e-14 3.66034e-14 -2.80036e-20 5.90699e-20 -2.08681e-14 -6.04204e-15 -7.81116e-14 -2.87172e-13 1.30972e-19 4.85395e-14 -3.66034e-14 -8.57467e-14 -4.26466e-14 -2.95727e-14 -7.77222e-14 -2.29395e-14 -2.17125e-13 -1.89522e-13 -4.18872e-13 -3.10111e-13 -4.42316e-13 -5.24341e-13 -5.43672e-13
9.98853 5.4435e-13 2.79851e-13 2.77498e-13 5.94402e-13 7.70025e-13 6.82821e-13 1.5854e-13 1.29568e-13 2.07558e-13 5.7866e-13 6.33881e-14 6.39605e-14 2.44518e-13 3.3508e-13 4.76311e-19 4.1103e-19 3.14551e-13 5.25626e-13 -3.1455e-13 -2.25673e-13 2.03845e-19 2.25673e-13 5.3034e-14 -3.69601e-14 6.56076e-14 -1.64035e-20 8.86718e-20 -6.33878e-14 -6.39598e-14 -2.44518e-13 -5.25626e-13 1.37509e-19 3.69604e-14 -6.56077e-14 -1.58541e-13 -1.29569e-13 -2.07558e-13 -3.3508e-13 -5.30341e-14 -2.79851e-13 -2.77498e-13 -5.94403e-13 -5.7866e-13 -5.44351e-13 -6.82821e-13 -7.70024e-13
10.4573 6.26608e-13 3.29422e-13 3.5161e-13 7.46062e-13 9.65829e-13 8.15487e-13 2.23479e-13 2.07091e-13 3.67135e-13 8.19011e-13 1.00751e-13 1.16157e-13 3.95982e-13 5.68562e-13 5.45793e-19 4.34785e-19 4.1664e-13 7.42806e-13 -4.16639e-13 -3.3922e-13 1.88398e-19 3.3922e-13 7.62046e-14 -2.88468e-14 9.0934e-14 -8.45589e-21 1.1612e-19 -1.00751e-13 -1.16156e-13 -3.95982e-13 -7.42806e-13 1.39974e-19 2.88471e-14 -9.0934e-14 -2.2348e-13 -2.07092e-13 -3.67136e-13 -5.68562e-13 -7.62048e-14 -3.29422e-13 -3.51611e-13 -7.46062e-13 -8.19011e-13 -6.26608e-13 -8.15487e-13 -9.65828e-13
10.9262 6.86905e-13 3.64435e-13 4.09858e-13 8.69972e-13 1.12588e-12 9.18713e-13 2.78896e-13 2.73302e-13 5.04111e-13 1.02494e-12 1.32093e-13 1.61374e-13 5.2868e-13 7.72115e-13 6.11748e-19 4.50921e-19 5.05537e-13 9.33254e-13 -5.05537e-13 -4.38975e-13 1.65128e-19 4.38975e-13 9.1681e-14 -2.45691e-14 1.11928e-13 -4.50393e-21 1.4078e-19 -1.32093e-13 -1.61374e-13 -5.2868e-13 -9.33255e-13 1.38067e-19 2.45694e-14 -1.11928e-13 -2.78897e-13 -2.73303e-13 -5.04111e-13 -7.72115e-13 -9.16812e-14 -3.64435e-13 -4.09859e-13 -8.69972e-13 -1.02494e-12 -6.86905e-13 -9.18713e-13 -1.12588e-12
11.395 7.23896e-13 3.84042e-13 4.50822e-13 9.63267e-13 1.24626e-12 9.89959e-13 3.23456e-13 3.26696e-13 6.15082e-13 1.19141e-12 1.5678e-13 1.98603e-13 6.39434e-13 9.40717e-13 6.72543e-19 4.58926e-19 5.79225e-13 1.09242e-12 -5.79224e-13 -5.22366e-13 1.34018e-19 5.22366e-13 9.89829e-14 -2.43517e-14 1.28093e-13 -4.7418e-21 1.62111e-19 -1.56779e-13 -1.98602e-13 -6.39434e-13 -1.09242e-12 1.31518e-19 2.4352e-14 -1.28093e-13 -3.23457e-13 -3.26697e-13 -6.15083e-13 -9.40717e-13 -9.89831e-14 -3.84042e-13 -4.50822e-13 -9.63267e-13 -1.19141e-12 -7.23896e-13 -9.89959e-13 -1.24626e-12
11.8638 7.37089e-13 3.8796e-13 4.73681e-13 1.02414e-12 1.32442e-12 1.02782e-12 3.56179e-13 3.662e-13 6.97497e-13 1.3147e-12 1.74417e-13 2.27096e-13 7.25768e-13 1.07048e-12 7.26641e-19 4.58426e-19 6.36181e-13 1.21677e-12 -6.36181e-13 -5.87331e-13 9.52651e-20 5.87331e-13 9.79259e-14 -2.82719e-14 1.39105e-13 -9.19712e-21 1.79664e-19 -1.74417e-13 -2.27095e-13 -7.25768e-13 -1.21677e-12 1.20468e-19 2.82721e-14 -1.39105e-13 -3.5618e-13 -3.66201e-13 -6.97497e-13 -1.07048e-12 -9.79261e-14 -3.8796e-13 -4.73682e-13 -1.02414e-12 -1.3147e-12 -7.37089e-13 -1.02782e-12 -1.32442e-12
12.3326 7.26834e-13 3.76455e-13 4.7822e-13 1.05186e-12 1.35919e-12 1.03203e-12 3.76458e-13 3.91174e-13 7.49685e-13 1.39243e-12 1.84843e-13 2.46368e-13 7.85947e-13 1.1587e-12 7.72696e-19 4.49545e-19 6.75403e-13 1.30381e-12 -6.75403e-13 -6.32355e-13 4.94705e-20 6.32355e-13 8.86155e-14 -3.62628e-14 1.44806e-13 -1.77719e-20 1.93049e-19 -1.84843e-13 -2.46367e-13 -7.85947e-13 -1.30381e-12 1.04935e-19 3.62631e-14 -1.44806e-13 -3.76459e-13 -3.91175e-13 -7.49685e-13 -1.1587e-12 -8.86157e-14 -3.76455e-13 -4.7822e-13 -1.05186e-12 -1.39243e-12 -7.26834e-13 -1.03203e-12 -1.35919e-12
