# t  B_z_curl_0  B_z_curl_1  B_z_curl_2  B_z_curl_3  B_z_curl_4  B_z_curl_5  B_z_curl_6  B_z_curl_7  B_z_curl_8  B_z_curl_9  B_z_curl_10  B_z_curl_11  B_z_curl_12  B_z_curl_13  B_z_curl_14  B_z_curl_15  B_z_curl_16  B_z_curl_17  B_z_curl_18  B_z_curl_19  B_z_curl_20  B_z_curl_21  B_z_curl_22  B_z_curl_23  B_z_curl_24  B_z_curl_25  B_z_curl_26  B_z_curl_27  B_z_curl_28  B_z_curl_29  B_z_curl_30  B_z_curl_31  B_z_curl_32  B_z_curl_33  B_z_curl_34  B_z_curl_35  B_z_curl_36  B_z_curl_37  B_z_curl_38  B_z_curl_39  B_z_curl_40  B_z_curl_41  B_z_curl_42  B_z_curl_43  B_z_curl_44  B_z_curl_45
11.395 8.73665e-13 -6.48599e-13 3.49228e-13 2.2912e-13 -2.93877e-13 0 3.6226e-13 -4.35626e-14 3.33597e-13 0 6.09699e-14 4.81115e-13 1.66801e-13 0 -2.60202e-13 4.83935e-19 -1.03784e-14 0 1.03784e-14 2.46908e-13 -2.46908e-13 0 1.03923e-12 -6.36428e-13 6.8783e-13 -3.43915e-13 -7.71505e-13 3.0565e-13 -4.41823e-13 -1.66801e-13 0 7.0564e-13 -2.36008e-13 -1.02057e-13 -2.10683e-13 1.2539e-13 -3.33596e-13 0 1.3153e-12 -9.062e-13 -8.99553e-13 -2.29119e-13 0 4.69685e-14 2.93877e-13 0
11.8638 9.12669e-13 -7.03914e-13 3.89828e-13 2.54911e-13 -3.38194e-13 0 3.4972e-13 -1.78214e-14 3.81381e-13 0 2.97774e-14 5.27259e-13 2.1089e-13 0 -2.92011e-13 4.39348e-19 5.62784e-15 0 -5.62787e-15 2.77334e-13 -2.77334e-13 0 1.12024e-12 -6.92654e-13 7.92213e-13 -3.96107e-13 -7.51852e-13 2.96191e-13 -4.70495e-13 -2.10891e-13 0 7.79253e-13 -2.5709e-13 -5.77087e-14 -2.67437e-13 1.35557e-13 -3.81381e-13 0 1.38763e-12 -9.32999e-13 -8.86516e-13 -2.54911e-13 0 6.0859e-14 3.38194e-13 0
12.3326 9.28664e-13 -7.4286e-13 4.15277e-13 2.68676e-13 -3.58111e-13 0 3.34301e-13 -3.1146e-15 4.18873e-13 0 -3.79719e-15 5.64444e-13 2.47835e-13 0 -3.24842e-13 3.80183e-19 1.87882e-14 0 -1.87882e-14 2.9015e-13 -2.9015e-13 0 1.15685e-12 -7.28912e-13 8.89737e-13 -4.44868e-13 -7.24522e-13 2.87248e-13 -4.79202e-13 -2.47835e-13 0 8.14772e-13 -2.56898e-13 -9.45909e-15 -3.17356e-13 1.63848e-13 -4.18873e-13 0 1.42551e-12 -9.32539e-13 -8.54988e-13 -2.68676e-13 0 6.79603e-14 3.58111e-13 0
12.8014 9.22279e-13 -7.64965e-13 4.25267e-13 2.70384e-13 -3.53234e-13 0 3.16771e-13 2.5364e-16 4.45461e-13 0 -3.8628e-14 5.92231e-13 2.76778e-13 0 -3.58134e-13 3.07627e-19 2.86816e-14 0 -2.86816e-14 2.85432e-13 -2.85432e-13 0 1.14907e-12 -7.44781e-13 9.78741e-13 -4.89371e-13 -6.91313e-13 2.79199e-13 -4.6819e-13 -2.76779e-13 0 8.11705e-13 -2.35607e-13 4.13638e-14 -3.59172e-13 2.09664e-13 -4.45461e-13 0 1.42895e-12 -9.05691e-13 -8.07099e-13 -2.70384e-13 0 6.78016e-14 3.53234e-13 0
13.2702 8.94825e-13 -7.70235e-13 4.1989e-13 2.60338e-13 -3.23935e-13 0 2.98049e-13 -7.73718e-15 4.60817e-13 0 -7.3486e-14 6.10391e-13 2.97057e-13 0 -3.91252e-13 2.23452e-19 3.49739e-14 0 -3.49739e-14 2.63802e-13 -2.63802e-13 0 1.09826e-12 -7.40448e-13 1.05766e-12 -5.28829e-13 -6.54279e-13 2.72423e-13 -4.38274e-13 -2.97058e-13 0 7.70739e-13 -1.9405e-13 9.32036e-14 -3.91759e-13 2.7188e-13 -4.60817e-13 0 1.39905e-12 -8.54183e-13 -7.45568e-13 -2.60338e-13 0 6.01331e-14 3.23936e-13 0
13.7391 8.48209e-13 -7.59129e-13 3.99611e-13 2.39145e-13 -2.71318e-13 0 2.79184e-13 -2.68449e-14 4.64889e-13 0 -1.07085e-13 6.18896e-13 3.08218e-13 0 -4.23504e-13 1.30001e-19 3.7427e-14 0 -3.7427e-14 2.26381e-13 -2.26382e-13 0 1.00702e-12 -7.16683e-13 1.12504e-12 -5.62519e-13 -6.15646e-13 2.67298e-13 -3.90781e-13 -3.08219e-13 0 6.93673e-13 -1.3366e-13 1.4432e-13 -4.14171e-13 3.4891e-13 -4.64889e-13 0 1.33792e-12 -7.80505e-13 -6.73571e-13 -2.39144e-13 0 4.49363e-14 2.71319e-13 0
14.2079 7.84836e-13 -7.32529e-13 3.65236e-13 2.07675e-13 -1.97158e-13 0 2.61314e-13 -5.65896e-14 4.5789e-13 0 -1.38132e-13 6.17904e-13 3.10022e-13 0 -4.54161e-13 3.02146e-20 3.59054e-14 0 -3.59054e-14 1.7473e-13 -1.74731e-13 0 8.79065e-13 -6.74794e-13 1.17958e-12 -5.89791e-13 -5.7772e-13 2.64194e-13 -3.27484e-13 -3.10022e-13 0 5.83328e-13 -5.6402e-14 1.92847e-13 -4.25669e-13 4.38775e-13 -4.5789e-13 0 1.24856e-12 -6.87799e-13 -5.94611e-13 -2.07675e-13 0 2.24274e-14 1.97159e-13 0
14.6767 7.07506e-13 -6.91693e-13 3.17872e-13 1.67022e-13 -1.03825e-13 0 2.45626e-13 -9.62804e-14 4.40281e-13 0 -1.65377e-13 6.07746e-13 3.02448e-13 0 -4.82482e-13 -7.2707e-20 3.03801e-14 0 -3.038e-14 1.10772e-13 -1.10773e-13 0 7.19082e-13 -6.16561e-13 1.22017e-12 -6.10087e-13 -5.42798e-13 2.63466e-13 -2.50525e-13 -3.02448e-13 0 4.43415e-13 3.5313e-14 2.36857e-13 -4.25746e-13 5.39181e-13 -4.40281e-13 0 1.13478e-12 -5.79727e-13 -5.12362e-13 -1.67021e-13 0 -6.94825e-15 1.03826e-13 0
15.1455 6.19292e-13 -6.38204e-13 2.58891e-13 1.18453e-13 5.81245e-15 0 2.33306e-13 -1.45044e-13 4.12745e-13 0 -1.87664e-13 5.88914e-13 2.85692e-13 0 -5.07745e-13 -1.75143e-19 2.0928e-14 0 -2.09279e-14 3.6716e-14 -3.67171e-14 0 5.32501e-13 -5.44168e-13 1.24592e-12 -6.22962e-13 -5.13076e-13 2.65443e-13 -1.62336e-13 -2.85693e-13 0 2.78393e-13 1.38721e-13 2.74439e-13 -4.14155e-13 6.47606e-13 -4.12746e-13 0 1.001e-12 -4.60323e-13 -4.30525e-13 -1.18453e-13 0 -4.25292e-14 -5.81123e-15 0
15.6143 5.23429e-13 -5.73913e-13 1.89889e-13 6.3368e-14 1.28491e-13 0 2.25491e-13 -2.01851e-13 3.76169e-13 0 -2.03978e-13 5.62046e-13 2.60163e-13 0 -5.29268e-13 -2.73259e-19 7.72992e-15 0 -7.7299e-15 -4.50332e-14 4.50321e-14 0 3.25313e-13 -4.60117e-13 1.2562e-12 -6.28102e-13 -4.90571e-13 2.70424e-13 -6.55547e-14 -2.60163e-13 0 9.32992e-14 2.5081e-13 3.03777e-13 -3.90931e-13 7.61378e-13 -3.76169e-13 0 8.5212e-13 -3.33845e-13 -3.52677e-13 -6.33677e-14 0 -8.34582e-14 -1.28489e-13 0
16.0831 4.23197e-13 -5.00878e-13 1.12639e-13 3.24925e-15 2.6067e-13 0 2.23213e-13 -2.65544e-13 3.3161e-13 0 -2.13485e-13 5.27916e-13 2.26467e-13 0 -5.46443e-13 -3.63116e-19 -8.93564e-15 0 8.93566e-15 -1.31961e-13 1.3196e-13 0 1.03863e-13 -3.67142e-13 1.25069e-12 -6.25343e-13 -4.77039e-13 2.78666e-13 3.70575e-14 -2.26467e-13 0 -1.06424e-13 3.68422e-13 3.23231e-13 -3.56399e-13 8.77764e-13 -3.3161e-13 0 6.93312e-13 -2.04619e-13 -2.82137e-13 -3.24901e-15 0 -1.28709e-13 -2.60669e-13 0
