# t  B_z_sc_0  B_z_sc_1  B_z_sc_2  B_z_sc_3  B_z_sc_4  B_z_sc_5  B_z_sc_6  B_z_sc_7  B_z_sc_8  B_z_sc_9  B_z_sc_10  B_z_sc_11  B_z_sc_12  B_z_sc_13  B_z_sc_14  B_z_sc_15  B_z_sc_16  B_z_sc_17  B_z_sc_18  B_z_sc_19  B_z_sc_20  B_z_sc_21  B_z_sc_22  B_z_sc_23  B_z_sc_24  B_z_sc_25  B_z_sc_26  B_z_sc_27  B_z_sc_28  B_z_sc_29  B_z_sc_30  B_z_sc_31  B_z_sc_32  B_z_sc_33  B_z_sc_34  B_z_sc_35  B_z_sc_36  B_z_sc_37  B_z_sc_38  B_z_sc_39  B_z_sc_40  B_z_sc_41  B_z_sc_42  B_z_sc_43  B_z_sc_44  B_z_sc_45
44.4025 1.60192e-13 -9.33697e-14 -1.98004e-13 -2.52602e-13 -2.92569e-13 6.19507e-14 -2.99464e-14 -3.47168e-13 -1.199e-12 -1.0242e-12 -1.76316e-13 -4.05866e-13 -8.90809e-13 -1.58773e-12 -4.30672e-19 1.50932e-18 -1.59228e-13 -7.1549e-13 1.5923e-13 4.52762e-13 1.3446e-18 -4.52761e-13 -3.08711e-13 -3.08191e-13 5.86982e-14 -1.7192e-19 -9.53606e-19 1.76314e-13 4.05865e-13 8.9081e-13 7.1549e-13 5.93253e-19 3.08192e-13 -5.86986e-14 2.99459e-14 3.47168e-13 1.199e-12 1.58773e-12 3.08711e-13 9.33659e-14 1.98e-13 2.52599e-13 1.02421e-12 -1.60196e-13 -6.19547e-14 2.92568e-13
46.9284 1.36092e-13 -1.41158e-13 -2.28063e-13 -6.50347e-14 -1.1241e-14 1.37767e-13 -7.39254e-14 -3.40164e-13 -9.26586e-13 -5.33218e-13 -2.19219e-13 -3.16572e-13 -5.83013e-13 -1.06655e-12 7.50411e-19 1.65778e-18 7.61262e-14 -1.82896e-13 -7.61239e-14 1.47334e-13 7.90623e-19 -1.47333e-13 -3.50319e-13 -3.43571e-13 -2.35908e-14 -6.50321e-19 -1.03453e-18 2.19217e-13 3.16573e-13 5.83014e-13 1.82897e-13 7.66123e-19 3.43571e-13 2.35895e-14 7.39227e-14 3.40161e-13 9.26585e-13 1.06655e-12 3.50319e-13 1.41154e-13 2.28059e-13 6.50314e-14 5.33218e-13 -1.36095e-13 -1.37769e-13 1.12401e-14
49.4543 1.44706e-14 -2.35392e-13 -3.02736e-13 -1.30586e-14 3.34275e-14 4.64624e-14 -1.38593e-13 -3.82178e-13 -7.63512e-13 -2.35868e-13 -2.65855e-13 -2.84079e-13 -3.84994e-13 -6.56692e-13 1.96934e-18 1.19978e-18 2.22336e-13 1.765e-13 -2.22335e-13 -1.89556e-14 -3.32812e-19 1.89554e-14 -4.12365e-13 -3.78515e-13 -9.80973e-14 -1.4447e-18 -1.20397e-18 2.65853e-13 2.84081e-13 3.84995e-13 -1.76498e-13 4.58504e-19 3.78515e-13 9.80954e-14 1.38589e-13 3.82173e-13 7.63509e-13 6.56692e-13 4.12364e-13 2.35391e-13 3.02733e-13 1.30557e-14 2.35866e-13 -1.44711e-14 -4.64614e-14 -3.34274e-14
51.9802 -9.50703e-14 -2.78837e-13 -3.24751e-13 -8.98401e-14 -1.2468e-13 -9.90072e-14 -1.31817e-13 -4.06724e-13 -7.81714e-13 -2.84332e-13 -2.68104e-13 -3.26992e-13 -4.10609e-13 -6.06955e-13 2.26839e-18 3.94454e-19 1.88999e-13 1.48127e-13 -1.88999e-13 2.96104e-14 -1.27481e-18 -2.9612e-14 -4.32456e-13 -3.71102e-13 -7.97294e-14 -1.99462e-18 -1.38947e-18 2.68102e-13 3.26994e-13 4.1061e-13 -1.48125e-13 -8.97884e-20 3.71102e-13 7.97276e-14 1.31812e-13 4.06719e-13 7.8171e-13 6.06954e-13 4.32455e-13 2.78838e-13 3.24751e-13 8.9839e-14 2.84328e-13 9.50721e-14 9.90105e-14 1.24682e-13
54.5061 -1.03901e-13 -2.25351e-13 -2.5053e-13 -1.97362e-13 -3.18588e-13 -1.66346e-13 -1.97894e-14 -3.38779e-13 -9.04028e-13 -5.72755e-13 -1.93183e-13 -3.85073e-13 -5.89743e-13 -8.94616e-13 1.26168e-18 -2.62436e-19 2.79914e-14 -1.87986e-13 -2.79926e-14 2.14687e-13 -1.36898e-18 -2.14689e-13 -3.84768e-13 -3.14282e-13 4.62968e-14 -1.7885e-18 -1.41e-18 1.93181e-13 3.85073e-13 5.89743e-13 1.87987e-13 -4.74884e-19 3.14283e-13 -4.62977e-14 1.97865e-14 3.38775e-13 9.04025e-13 8.94615e-13 3.84767e-13 2.25353e-13 2.5053e-13 1.97362e-13 5.72753e-13 1.03903e-13 1.66349e-13 3.1859e-13
57.032 -1.05772e-14 -1.14995e-13 -1.20302e-13 -2.28555e-13 -3.94036e-13 -1.08428e-13 1.36395e-13 -1.86424e-13 -9.97104e-13 -8.47288e-13 -7.66378e-14 -3.81264e-13 -7.54358e-13 -1.28043e-12 -4.28671e-19 -3.17641e-19 -1.13558e-13 -5.47934e-13 1.13557e-13 3.83459e-13 -4.96941e-19 -3.8346e-13 -2.99354e-13 -2.42744e-13 1.94843e-13 -8.23159e-19 -1.14015e-18 7.66357e-14 3.81262e-13 7.54358e-13 5.47934e-13 -4.4154e-19 2.42744e-13 -1.94842e-13 -1.36395e-13 1.86423e-13 9.97103e-13 1.28043e-12 2.99353e-13 1.14995e-13 1.20302e-13 2.28556e-13 8.47289e-13 1.05768e-14 1.08428e-13 3.94038e-13
59.5579 1.02912e-13 -3.58853e-14 -1.9892e-14 -1.53391e-13 -3.19938e-13 1.21417e-14 2.32818e-13 -5.41621e-14 -9.90682e-13 -9.08465e-13 -8.69381e-15 -3.04011e-13 -7.8602e-13 -1.49774e-12 -1.51129e-18 3.59572e-19 -1.17504e-13 -6.71255e-13 1.17505e-13 4.22851e-13 7.94411e-19 -4.2285e-13 -2.37209e-13 -2.0466e-13 2.4985e-13 2.69581e-19 -6.88508e-19 8.69164e-15 3.04008e-13 7.86019e-13 6.71254e-13 -6.2331e-20 2.04661e-13 -2.49849e-13 -2.32816e-13 5.41633e-14 9.90682e-13 1.49774e-12 2.37209e-13 3.58832e-14 1.98902e-14 1.53391e-13 9.08469e-13 -1.02916e-13 -1.2145e-14 3.19938e-13
62.0838 1.41565e-13 -4.61765e-14 -1.29773e-14 -3.97118e-14 -1.83391e-13 9.02772e-14 2.12698e-13 -5.68095e-14 -9.1978e-13 -7.42662e-13 -5.57163e-14 -2.31509e-13 -6.99712e-13 -1.42704e-12 -1.03026e-18 1.42823e-18 6.4675e-15 -5.0283e-13 -6.46505e-15 3.24959e-13 1.62045e-18 -3.24957e-13 -2.3983e-13 -2.20064e-13 1.74701e-13 6.35157e-19 -3.93514e-19 5.57145e-14 2.31508e-13 6.99712e-13 5.02829e-13 3.43922e-19 2.20065e-13 -1.74701e-13 -2.12697e-13 5.68102e-14 9.1978e-13 1.42703e-12 2.3983e-13 4.6172e-14 1.29731e-14 3.9709e-14 7.42664e-13 -1.41571e-13 -9.02821e-14 1.83389e-13
64.6097 7.86192e-14 -1.22442e-13 -9.37931e-14 1.36741e-14 -9.04872e-14 7.473e-14 1.0795e-13 -2.15895e-13 -8.67378e-13 -4.93586e-13 -1.97728e-13 -2.63884e-13 -6.05506e-13 -1.1477e-12 7.45236e-19 2.19032e-18 1.3612e-13 -2.00559e-13 -1.36117e-13 1.6911e-13 1.35436e-18 -1.69108e-13 -2.93025e-13 -2.61867e-13 4.79917e-14 -1.136e-19 -5.82814e-19 1.97727e-13 2.63884e-13 6.05507e-13 2.00559e-13 4.68853e-19 2.61867e-13 -4.79926e-14 -1.07952e-13 2.15893e-13 8.67377e-13 1.1477e-12 2.93024e-13 1.22437e-13 9.37874e-14 -1.36792e-14 4.93586e-13 -7.86237e-14 -7.47335e-14 9.04845e-14
67.1356 -2.31027e-14 -1.8069e-13 -1.89548e-13 -2.69466e-14 -7.40493e-14 6.71533e-15 3.97869e-15 -4.28936e-13 -8.72154e-13 -3.25743e-13 -3.42049e-13 -4.13483e-13 -5.93722e-13 -8.57802e-13 2.38411e-18 2.00225e-18 1.53749e-13 1.12651e-14 -1.53746e-13 5.09505e-14 1.0236e-19 -5.09496e-14 -3.37004e-13 -2.78426e-13 -1.54475e-14 -1.49723e-18 -1.26693e-18 3.42048e-13 4.13485e-13 5.93723e-13 -1.12627e-14 2.43752e-19 2.78426e-13 1.54454e-14 -3.98403e-15 4.28931e-13 8.72151e-13 8.57802e-13 3.37003e-13 1.80687e-13 1.89543e-13 2.69415e-14 3.25739e-13 2.31012e-14 -6.71549e-15 7.40475e-14
