# t  B_z_curl_0  B_z_curl_1  B_z_curl_2  B_z_curl_3  B_z_curl_4  B_z_curl_5  B_z_curl_6  B_z_curl_7  B_z_curl_8  B_z_curl_9  B_z_curl_10  B_z_curl_11  B_z_curl_12  B_z_curl_13  B_z_curl_14  B_z_curl_15  B_z_curl_16  B_z_curl_17  B_z_curl_18  B_z_curl_19  B_z_curl_20  B_z_curl_21  B_z_curl_22  B_z_curl_23  B_z_curl_24  B_z_curl_25  B_z_curl_26  B_z_curl_27  B_z_curl_28  B_z_curl_29  B_z_curl_30  B_z_curl_31  B_z_curl_32  B_z_curl_33  B_z_curl_34  B_z_curl_35  B_z_curl_36  B_z_curl_37  B_z_curl_38  B_z_curl_39  B_z_curl_40  B_z_curl_41  B_z_curl_42  B_z_curl_43  B_z_curl_44  B_z_curl_45
44.4025 3.30178e-13 -7.45376e-14 -5.06919e-13 -4.70915e-13 1.16329e-12 0 1.21617e-12 -1.15951e-12 -2.98381e-13 0 3.53808e-13 3.65342e-13 -4.56689e-13 0 -5.34812e-13 2.16377e-18 -2.49171e-13 0 2.49172e-13 -6.94694e-13 6.94697e-13 0 -9.4145e-13 5.72032e-14 6.96286e-13 -3.48143e-13 -2.24033e-12 1.18456e-12 3.38941e-13 4.56689e-13 0 -1.25807e-12 1.04256e-12 -6.8136e-13 1.83251e-13 1.4826e-12 2.98382e-13 0 6.35241e-13 -3.38966e-13 -1.10364e-12 4.70918e-13 0 -4.686e-13 -1.1633e-12 0
46.9284 4.40202e-13 -3.23187e-13 -4.69034e-13 -3.68515e-13 1.04701e-12 0 1.06668e-12 -1.13876e-12 -1.10364e-13 0 9.21018e-14 4.56493e-13 -2.92144e-13 0 -6.79426e-13 1.35393e-18 -1.9846e-13 0 1.98461e-13 -7.22525e-13 7.22527e-13 0 -6.12763e-13 -1.33862e-13 8.62967e-13 -4.31483e-13 -1.6348e-12 1.0191e-12 4.45871e-13 2.92143e-13 0 -9.76324e-13 9.28407e-13 -3.87258e-13 8.03828e-14 1.68991e-12 1.10364e-13 0 8.96017e-13 -4.02782e-13 -9.6881e-13 3.68515e-13 0 -3.2449e-13 -1.04702e-12 0
49.4543 4.33743e-13 -4.45376e-13 -4.53242e-13 -2.99591e-13 9.77356e-13 0 9.03185e-13 -1.17068e-12 4.98543e-14 0 -1.18651e-13 4.25992e-13 -1.12895e-13 0 -8.10597e-13 -3.836e-19 -1.62302e-13 0 1.62304e-13 -7.16625e-13 7.16624e-13 0 -4.10393e-13 -2.53375e-13 9.52256e-13 -4.76129e-13 -1.04446e-12 8.0563e-13 7.69216e-13 1.12894e-13 0 -7.35896e-13 8.26521e-13 -9.25884e-14 2.50609e-16 2.01186e-12 -4.98551e-14 0 8.81318e-13 -2.98661e-13 -8.07811e-13 2.9959e-13 0 -2.60732e-13 -9.77357e-13 0
51.9802 3.26766e-13 -3.55332e-13 -4.33955e-13 -2.8864e-13 9.7485e-13 0 8.36867e-13 -1.18789e-12 5.16186e-14 0 -1.15565e-13 3.09841e-13 -5.00655e-14 0 -8.21636e-13 -1.86646e-18 -1.53748e-13 0 1.53749e-13 -6.79635e-13 6.79632e-13 0 -4.23671e-13 -2.32816e-13 9.2743e-13 -4.63718e-13 -9.55799e-13 7.23211e-13 1.02359e-12 5.00659e-14 0 -6.27042e-13 7.58174e-13 -1.52287e-14 -4.04056e-14 2.11627e-12 -5.16207e-14 0 6.2808e-13 -1.37861e-13 -7.09796e-13 2.88639e-13 0 -2.9522e-13 -9.74848e-13 0
54.5061 2.08143e-13 -1.23705e-13 -4.09272e-13 -3.07331e-13 1.00442e-12 0 9.057e-13 -1.09909e-12 -9.69375e-14 0 7.87118e-14 2.35902e-13 -1.55155e-13 0 -6.92919e-13 -2.01355e-18 -1.44265e-13 0 1.44265e-13 -6.1126e-13 6.11256e-13 0 -5.78096e-13 -1.14493e-13 9.04553e-13 -4.52279e-13 -1.4226e-12 8.12897e-13 9.14038e-13 1.55156e-13 0 -6.94532e-13 7.50808e-13 -2.12779e-13 -3.71678e-14 1.83756e-12 9.69352e-14 0 3.49237e-13 -6.24682e-14 -7.05749e-13 3.07332e-13 0 -3.93168e-13 -1.00441e-12 0
57.032 1.66724e-13 8.19772e-14 -3.91899e-13 -3.06245e-13 1.01255e-12 0 1.05524e-12 -9.17196e-13 -2.71856e-13 0 2.97261e-13 3.11584e-13 -3.60755e-13 0 -5.28646e-13 -6.21064e-19 -9.82207e-14 0 9.82198e-14 -5.12696e-13 5.12695e-13 0 -7.09981e-13 -3.70591e-15 9.57542e-13 -4.78772e-13 -2.05715e-12 9.83847e-13 4.34124e-13 3.60756e-13 0 -8.87777e-13 8.02586e-13 -5.26594e-13 -8.95688e-15 1.32932e-12 2.71854e-13 0 2.49619e-13 -1.23573e-13 -7.82172e-13 3.06249e-13 0 -4.99871e-13 -1.01255e-12 0
59.5579 2.19752e-13 1.23249e-13 -3.84279e-13 -2.67913e-13 9.76477e-13 0 1.18949e-12 -7.823e-13 -3.46689e-13 0 3.81751e-13 5.01854e-13 -5.19482e-13 0 -4.74299e-13 1.4117e-18 -2.45244e-14 0 2.45236e-14 -4.15305e-13 4.15307e-13 0 -7.0265e-13 1.93595e-14 9.93715e-13 -4.96857e-13 -2.36743e-12 1.10706e-12 -5.51115e-14 5.19481e-13 0 -1.04823e-12 8.56083e-13 -7.15197e-13 2.45419e-15 9.54406e-13 3.46688e-13 0 3.65091e-13 -2.44954e-13 -9.00135e-13 2.67917e-13 0 -5.61192e-13 -9.76483e-13 0
62.0838 3.03679e-13 -4.90625e-15 -3.83167e-13 -2.22947e-13 9.12756e-13 0 1.24289e-12 -8.35223e-13 -2.89502e-13 0 3.00538e-13 6.22882e-13 -5.11618e-13 0 -5.71351e-13 2.62673e-18 2.28333e-14 0 -2.28327e-14 -3.71385e-13 3.71388e-13 0 -5.63964e-13 -4.78319e-14 8.68129e-13 -4.34063e-13 -2.13888e-12 1.10372e-12 -1.03062e-13 5.11617e-13 0 -1.0082e-12 8.33913e-13 -6.7155e-13 -2.95925e-14 1.0008e-12 2.89502e-13 0 5.57533e-13 -3.06851e-13 -9.88721e-13 2.22949e-13 0 -5.4139e-13 -9.12766e-13 0
64.6097 3.35892e-13 -1.71301e-13 -3.98311e-13 -2.06692e-13 8.42103e-13 0 1.20391e-12 -1.06749e-12 -1.72265e-13 0 1.44024e-13 5.01364e-13 -3.46237e-13 0 -7.07024e-13 2.02668e-18 6.2113e-15 0 -6.20913e-15 -3.94643e-13 3.94646e-13 0 -3.93332e-13 -1.42127e-13 5.86219e-13 -2.93109e-13 -1.57242e-12 9.91248e-13 4.11325e-13 3.46237e-13 0 -7.41278e-13 7.09432e-13 -4.96889e-13 -8.13551e-14 1.43686e-12 1.72266e-13 0 6.50118e-13 -2.65922e-13 -9.51602e-13 2.06691e-13 0 -4.47472e-13 -8.42113e-13 0
67.1356 2.87345e-13 -2.17661e-13 -4.38324e-13 -2.09845e-13 7.65058e-13 0 1.09013e-12 -1.29988e-12 -1.02428e-13 0 3.08965e-14 1.70576e-13 -1.61427e-13 0 -7.28689e-13 -1.27975e-19 -4.65778e-14 0 4.65808e-14 -4.32048e-13 4.3205e-13 0 -2.8891e-13 -1.87252e-13 3.29764e-13 -1.64884e-13 -1.09367e-12 8.66984e-13 1.11623e-12 1.61427e-13 0 -4.06914e-13 5.35165e-13 -3.61446e-13 -1.00724e-13 1.89766e-12 1.02427e-13 0 5.68198e-13 -1.87279e-13 -7.40733e-13 2.09841e-13 0 -3.33015e-13 -7.65063e-13 0
