# mu freq sigma_base sigma_full diff
2.30 0.0562265 -0.023233 -0.0319059 0.0086729
2.30 0.056594 -0.0162665 -0.0251776 0.0089111
2.30 0.0569615 -0.0147908 -0.0157818 0.000991
2.30 0.0573289 -0.0111539 0.00177416 -0.0129281
2.30 0.0576964 -0.0125036 0.000241194 -0.0127448
2.30 0.0580639 -0.016267 -0.00359239 -0.0126746
2.30 0.0584314 -0.0117968 0.0118952 -0.023692
2.30 0.0587989 -0.0100489 0.00943594 -0.0194848
2.30 0.0591664 -0.00955507 0.00340043 -0.0129555
2.30 0.0595339 -0.00751126 0.00968285 -0.0171941
2.30 0.0599014 -0.00955605 0.00367073 -0.0132268
2.30 0.0602689 -0.005462 0.00394471 -0.00940671
2.30 0.0606364 -0.00167846 0.00523757 -0.00691603
2.30 0.0610039 -0.0042091 -0.00445708 0.00024798
2.30 0.0613714 0.00113907 0.00226715 -0.00112808
2.30 0.0617389 0.00471567 0.0054414 -0.00072573
2.30 0.0621064 0.0043496 0.00120208 0.00314752
2.30 0.0624739 0.0121767 0.0111518 0.0010249
2.30 0.0628413 0.0169406 0.00780392 0.00913668
2.30 0.0632088 0.0209418 0.00357853 0.0173633
2.30 0.0635763 0.0274572 0.0148041 0.0126531
2.30 0.0639438 0.0249645 0.013055 0.0119095
2.30 0.0643113 0.0258778 0.0127463 0.0131315
2.30 0.0646788 0.0314157 0.013036 0.0183797
2.30 0.0650463 0.0306054 0.00255628 0.0280491
2.30 0.0654138 0.030998 0.0106444 0.0203536
2.30 0.0657813 0.0263166 0.0179426 0.008374
2.30 0.0661488 0.0190037 0.0088148 0.0101889
2.30 0.0665163 0.0210022 0.00393543 0.0170668
2.30 0.0668838 0.0171458 -0.007422 0.0245678
2.30 0.0672513 0.00987978 -0.00722301 0.0171028
2.30 0.0676188 0.00874735 0.00919889 -0.00045154
2.30 0.0679863 0.0045277 0.00581904 -0.00129134
2.30 0.0683537 0.00725384 0.00308343 0.00417041
2.30 0.0687212 0.0152335 0.00522587 0.0100076
2.30 0.0690887 0.0135445 -0.00354736 0.0170919
2.30 0.0694562 0.00999642 0.00137992 0.0086165
2.30 0.0698237 0.00465718 0.00190245 0.00275473
2.30 0.0701912 0.00429191 -0.00662417 0.0109161
2.30 0.0705587 0.0168697 0.0053265 0.0115432
2.30 0.0709262 0.0204584 0.0142916 0.0061668
2.30 0.0712937 0.0178734 0.0236932 -0.0058198
2.30 0.0716612 0.0196698 0.0430654 -0.0233956
2.30 0.0720287 0.0120359 0.0439612 -0.0319253
2.30 0.0723962 0.0062713 0.0461849 -0.0399136
2.30 0.0727637 0.00842897 0.0503601 -0.0419311
2.30 0.0731312 0.00955789 0.0411376 -0.0315797
2.30 0.0734987 0.0159967 0.0452068 -0.0292101
2.30 0.0738661 0.0125716 0.0362362 -0.0236646
2.30 0.0742336 -0.000627694 0.00727439 -0.00790208
2.30 0.0746011 0.00202448 0.000228157 0.00179632
2.30 0.0749686 0.00460367 -0.00755578 0.0121594
2.30 0.0753361 -0.00227389 -0.014288 0.0120141
2.30 0.0757036 -0.00529636 -0.00253364 -0.00276272
2.30 0.0760711 -0.0114405 -0.00434457 -0.00709593
2.30 0.0764386 -0.0161365 -0.00197641 -0.0141601
2.30 0.0768061 -0.017528 0.0101309 -0.0276589
2.30 0.0771736 -0.021175 0.0100672 -0.0312422
2.30 0.0775411 -0.0150198 0.0275936 -0.0426134
2.30 0.0779086 -0.0104461 0.0426106 -0.0530567
2.30 0.0782761 -0.0145232 0.0299742 -0.0444974
2.30 0.0786436 -0.0113495 0.0250027 -0.0363522
2.30 0.0790111 -0.0135062 0.0190265 -0.0325327
2.30 0.0793785 -0.0230338 0.00926426 -0.0322981
2.30 0.079746 -0.0286661 0.00648309 -0.0351492
2.30 0.0801135 -0.037317 -0.0065614 -0.0307556
2.30 0.080481 -0.0343754 -0.00300818 -0.0313672
2.30 0.0808485 -0.0194892 0.0122308 -0.03172
2.30 0.081216 -0.0147135 0.00588053 -0.020594
2.30 0.0815835 -0.010009 0.00936044 -0.0193694
2.30 0.081951 -0.0047461 0.0171553 -0.0219014
2.30 0.0823185 -0.00457412 0.016636 -0.0212101
2.30 0.082686 5.97236e-05 0.0295887 -0.029529
2.30 0.0830535 -0.0033761 0.0239719 -0.027348
2.30 0.083421 -0.0088883 0.00742747 -0.0163158
2.30 0.0837885 -0.000881144 0.00792288 -0.00880402
2.30 0.084156 0.000832495 -0.00908972 0.00992222
2.30 0.0845234 -0.00326963 -0.0230934 0.0198238
2.30 0.0848909 -0.00295022 -0.0190796 0.0161294
2.30 0.0852584 -0.002279 -0.0306215 0.0283425
2.30 0.0856259 0.00427296 -0.0320461 0.0363191
2.30 0.0859934 0.000388333 -0.023404 0.0237923
2.30 0.0863609 -0.0170178 -0.0272318 0.010214
2.30 0.0867284 -0.0219337 -0.0242468 0.0023131
2.30 0.0870959 -0.0257991 -0.0246574 -0.0011417
2.30 0.0874634 -0.0314153 -0.0173291 -0.0140862
2.30 0.0878309 -0.024437 0.00794972 -0.0323867
2.30 0.0881984 -0.0240129 0.0115584 -0.0355713
2.30 0.0885659 -0.0287727 0.0142097 -0.0429824
2.30 0.0889334 -0.0276542 0.0252721 -0.0529263
2.30 0.0893009 -0.0291037 0.0182914 -0.0473951
2.30 0.0896684 -0.0247761 0.0292292 -0.0540053
2.30 0.0900358 -0.0193615 0.0466053 -0.0659668
2.30 0.0904033 -0.0175471 0.0409215 -0.0584686
2.30 0.0907708 -0.00506525 0.0436634 -0.0487286
2.30 0.0911383 0.00647743 0.0421986 -0.0357212
2.30 0.0915058 0.0167382 0.0418612 -0.025123
2.30 0.0918733 0.0301345 0.0667263 -0.0365918
2.30 0.0922408 0.026495 0.0756188 -0.0491238
2.30 0.0926083 0.02122 0.071818 -0.050598
2.30 0.0929758 0.0223735 0.0710734 -0.0486999
2.30 0.0933433 0.0103685 0.0631619 -0.0527934
2.30 0.0937108 0.000916988 0.07954 -0.078623
2.30 0.0940783 -0.00733909 0.091998 -0.0993371
2.30 0.0944458 -0.0203579 0.0643126 -0.0846705
2.30 0.0948133 -0.0125128 0.039795 -0.0523078
2.30 0.0951808 0.000484535 0.0230816 -0.0225971
2.30 0.0955482 0.00548396 0.0207079 -0.0152239
2.30 0.0959157 0.0162763 0.0406907 -0.0244144
2.30 0.0962832 0.0159033 0.0387955 -0.0228922
