# mu freq sigma_base sigma_full diff
2.33 0.0907708 0.64764 0.643282 0.004358
2.33 0.0911383 0.709519 0.704782 0.004737
2.33 0.0915058 0.785694 0.780512 0.005182
2.33 0.0918733 0.90122 0.89533 0.00589
2.33 0.0922408 1.07336 1.06648 0.00688
2.33 0.0926083 1.32984 1.32142 0.00842
2.33 0.0929758 1.75018 1.73934 0.01084
2.33 0.0933433 2.3963 2.3817 0.0146
2.33 0.0937108 3.33488 3.31487 0.02001
2.33 0.0940783 4.15546 4.13079 0.02467
2.33 0.0944458 4.05235 4.02836 0.02399
2.33 0.0948133 3.12988 3.11131 0.01857
2.33 0.0951808 2.23885 2.22541 0.01344
2.33 0.0955482 1.63957 1.62959 0.00998
2.33 0.0959157 1.25849 1.25065 0.00784
2.33 0.0962832 1.03045 1.02391 0.00654
2.33 0.0966507 0.868452 0.862814 0.005638
2.33 0.0970182 0.774213 0.769076 0.005137
2.33 0.0973857 0.696993 0.692286 0.004707
2.33 0.0977532 0.651308 0.646811 0.004497
2.33 0.0981207 0.615511 0.61122 0.004291
2.33 0.0984882 0.588073 0.583892 0.004181
2.33 0.0988557 0.575946 0.571827 0.004119
2.33 0.0992232 0.557368 0.553323 0.004045
2.33 0.0995907 0.55787 0.553798 0.004072
2.33 0.0999582 0.547772 0.54375 0.004022
2.33 0.100326 0.552768 0.548674 0.004094
2.33 0.100693 0.553422 0.549326 0.004096
2.33 0.101061 0.558653 0.554474 0.004179
2.33 0.101428 0.571292 0.567037 0.004255
2.33 0.101796 0.577938 0.573604 0.004334
2.33 0.102163 0.602161 0.597665 0.004496
2.33 0.102531 0.616833 0.612227 0.004606
2.33 0.102898 0.649648 0.644809 0.004839
2.33 0.103266 0.672708 0.667735 0.004973
2.33 0.103633 0.70411 0.698905 0.005205
2.33 0.104001 0.746498 0.741045 0.005453
2.33 0.104368 0.8018 0.795976 0.005824
2.33 0.104736 0.896568 0.890183 0.006385
2.33 0.105103 1.02278 1.01563 0.00715
2.33 0.105471 1.23674 1.22833 0.00841
2.33 0.105838 1.53708 1.52694 0.01014
2.33 0.106206 1.90027 1.88801 0.01226
2.33 0.106573 2.09355 2.0802 0.01335
2.33 0.106941 2.01383 2.0009 0.01293
2.33 0.107308 1.79268 1.78105 0.01163
2.33 0.107676 1.50141 1.49144 0.00997
2.33 0.108043 1.27199 1.26333 0.00866
2.33 0.108411 1.11504 1.10725 0.00779
2.33 0.108778 1.03178 1.02441 0.00737
2.33 0.109145 0.985676 0.978556 0.00712
2.33 0.109513 0.96376 0.956691 0.007069
2.33 0.10988 0.969404 0.962283 0.007121
2.33 0.110248 0.975849 0.968628 0.007221
2.33 0.110615 1.0149 1.00742 0.00748
2.33 0.110983 1.05311 1.04537 0.00774
2.33 0.11135 1.13164 1.12338 0.00826
2.33 0.111718 1.22932 1.22048 0.00884
2.33 0.112085 1.34628 1.3367 0.00958
2.33 0.112453 1.41206 1.40209 0.00997
2.33 0.11282 1.37864 1.3688 0.00984
2.33 0.113188 1.3485 1.3388 0.0097
2.33 0.113555 1.32876 1.3191 0.00966
2.33 0.113923 1.35434 1.34446 0.00988
2.33 0.11429 1.36681 1.35683 0.00998
2.33 0.114658 1.39255 1.38234 0.01021
2.33 0.115025 1.42915 1.4187 0.01045
2.33 0.115393 1.47006 1.45929 0.01077
2.33 0.11576 1.54034 1.52911 0.01123
2.33 0.116128 1.59598 1.58434 0.01164
2.33 0.116495 1.68905 1.67679 0.01226
2.33 0.116863 1.76558 1.7528 0.01278
2.33 0.11723 1.87318 1.85968 0.0135
2.33 0.117598 1.98168 1.96749 0.01419
2.33 0.117965 2.1017 2.0867 0.015
2.33 0.118333 2.25133 2.23539 0.01594
2.33 0.1187 2.39187 2.37499 0.01688
2.33 0.119068 2.58718 2.56905 0.01813
2.33 0.119435 2.76833 2.74901 0.01932
2.33 0.119803 3.01264 2.99175 0.02089
2.33 0.12017 3.2647 3.24222 0.02248
2.33 0.120538 3.5693 3.54485 0.02445
2.33 0.120905 3.93029 3.9036 0.02669
2.33 0.121273 4.32802 4.29879 0.02923
2.33 0.12164 4.84625 4.81384 0.03241
2.33 0.122008 5.40889 5.37298 0.03591
2.33 0.122375 6.16021 6.11966 0.04055
2.33 0.122743 7.02566 6.97982 0.04584
2.33 0.12311 8.16144 8.10866 0.05278
2.33 0.123478 9.59552 9.5341 0.06142
2.33 0.123845 11.4636 11.3909 0.0727
2.33 0.124213 14.0379 13.9499 0.088
2.33 0.12458 17.5168 17.4082 0.1086
2.33 0.124948 22.6806 22.5415 0.1391
2.33 0.125315 30.2354 30.0522 0.1832
2.33 0.125683 42.1739 41.9214 0.2525
2.33 0.12605 60.572 60.213 0.359
2.33 0.126418 86.7411 86.2313 0.5098
2.33 0.126785 110.366 109.722 0.644
2.33 0.127153 110.014 109.378 0.636
2.33 0.12752 89.7515 89.2362 0.5153
2.33 0.127888 73.1716 72.7521 0.4195
