# mu freq sigma_base sigma_full diff
2.33 0.0146997 0.0483638 0.0482044 0.0001594
2.33 0.0150672 0.0438863 0.0437449 0.0001414
2.33 0.0154347 0.0410556 0.0409152 0.0001404
2.33 0.0158022 0.0396451 0.0395162 0.0001289
2.33 0.0161697 0.0387659 0.038632 0.0001339
2.33 0.0165372 0.0393926 0.0392611 0.0001315
2.33 0.0169047 0.0401194 0.0399823 0.0001371
2.33 0.0172722 0.0425891 0.0424422 0.0001469
2.33 0.0176397 0.0455704 0.0454171 0.0001533
2.33 0.0180072 0.0506311 0.0504536 0.0001775
2.33 0.0183747 0.0579045 0.057712 0.0001925
2.33 0.0187422 0.0686629 0.068428 0.0002349
2.33 0.0191096 0.0860224 0.0857423 0.0002801
2.33 0.0194771 0.112552 0.112187 0.000365
2.33 0.0198446 0.155429 0.154937 0.000492
2.33 0.0202121 0.212373 0.211715 0.000658
2.33 0.0205796 0.26223 0.261419 0.000811
2.33 0.0209471 0.260846 0.260047 0.000799
2.33 0.0213146 0.210882 0.21022 0.000662
2.33 0.0216821 0.158114 0.157617 0.000497
2.33 0.0220496 0.120827 0.12043 0.000397
2.33 0.0224171 0.0985559 0.0982293 0.0003266
2.33 0.0227846 0.0840319 0.083747 0.0002849
2.33 0.0231521 0.0760896 0.0758232 0.0002664
2.33 0.0235196 0.0708295 0.0705855 0.000244
2.33 0.0238871 0.0683045 0.0680556 0.0002489
2.33 0.0242546 0.0677693 0.0675325 0.0002368
2.33 0.024622 0.0679221 0.0676724 0.0002497
2.33 0.0249895 0.0704966 0.0702464 0.0002502
2.33 0.025357 0.0718828 0.0716236 0.0002592
2.33 0.0257245 0.0750514 0.0747809 0.0002705
2.33 0.026092 0.077428 0.0771551 0.0002729
2.33 0.0264595 0.0822571 0.081958 0.0002991
2.33 0.026827 0.0881215 0.0878161 0.0003054
2.33 0.0271945 0.095686 0.0953431 0.0003429
2.33 0.027562 0.106483 0.106117 0.000366
2.33 0.0279295 0.119063 0.118649 0.000414
2.33 0.028297 0.137944 0.137472 0.000472
2.33 0.0286645 0.161674 0.161127 0.000547
2.33 0.029032 0.197333 0.196665 0.000668
2.33 0.0293995 0.248242 0.247426 0.000816
2.33 0.029767 0.326923 0.325849 0.001074
2.33 0.0301344 0.449444 0.448012 0.001432
2.33 0.0305019 0.633556 0.631564 0.001992
2.33 0.0308694 0.868982 0.866313 0.002669
2.33 0.0312369 1.08824 1.08495 0.00329
2.33 0.0316044 1.14774 1.14431 0.00343
2.33 0.0319719 0.963067 0.960217 0.00285
2.33 0.0323394 0.704919 0.702816 0.002103
2.33 0.0327069 0.515829 0.51429 0.001539
2.33 0.0330744 0.394954 0.393745 0.001209
2.33 0.0334419 0.328576 0.327564 0.001012
2.33 0.0338094 0.290443 0.289529 0.000914
2.33 0.0341769 0.28211 0.281212 0.000898
2.33 0.0345444 0.295001 0.294066 0.000935
2.33 0.0349119 0.33804 0.336961 0.001079
2.33 0.0352794 0.40758 0.406311 0.001269
2.33 0.0356468 0.459957 0.458515 0.001442
2.33 0.0360143 0.44115 0.439771 0.001379
2.33 0.0363818 0.37325 0.37205 0.0012
2.33 0.0367493 0.330942 0.329861 0.001081
2.33 0.0371168 0.319289 0.318238 0.001051
2.33 0.0374843 0.347583 0.346432 0.001151
2.33 0.0378518 0.387929 0.386673 0.001256
2.33 0.0382193 0.390627 0.389346 0.001281
2.33 0.0385868 0.340404 0.339293 0.001111
2.33 0.0389543 0.275356 0.274421 0.000935
2.33 0.0393218 0.231367 0.23057 0.000797
2.33 0.0396893 0.197114 0.196412 0.000702
2.33 0.0400568 0.18191 0.181246 0.000664
2.33 0.0404243 0.168879 0.168263 0.000616
2.33 0.0407918 0.164657 0.164033 0.000624
2.33 0.0411592 0.162367 0.161768 0.000599
2.33 0.0415267 0.160261 0.159646 0.000615
2.33 0.0418942 0.164211 0.163596 0.000615
2.33 0.0422617 0.162013 0.161391 0.000622
2.33 0.0426292 0.169782 0.169132 0.00065
2.33 0.0429967 0.175394 0.174731 0.000663
2.33 0.0433642 0.194384 0.193645 0.000739
2.33 0.0437317 0.217864 0.217072 0.000792
2.33 0.0440992 0.238003 0.237128 0.000875
2.33 0.0444667 0.236798 0.235945 0.000853
2.33 0.0448342 0.210816 0.210021 0.000795
2.33 0.0452017 0.195105 0.194359 0.000746
2.33 0.0455692 0.177759 0.177063 0.000696
2.33 0.0459367 0.174558 0.173855 0.000703
2.33 0.0463042 0.168529 0.167859 0.00067
2.33 0.0466716 0.167894 0.167198 0.000696
2.33 0.0470391 0.169288 0.168606 0.000682
2.33 0.0474066 0.167136 0.166437 0.000699
2.33 0.0477741 0.173458 0.17275 0.000708
2.33 0.0481416 0.170388 0.169682 0.000706
2.33 0.0485091 0.178297 0.177557 0.00074
2.33 0.0488766 0.177206 0.176481 0.000725
2.33 0.0492441 0.183293 0.182525 0.000768
2.33 0.0496116 0.187084 0.186325 0.000759
2.33 0.0499791 0.189916 0.189119 0.000797
2.33 0.0503466 0.199808 0.198996 0.000812
2.33 0.0507141 0.200892 0.20006 0.000832
