# mu corr_flux alpha_flux mean_rel_peak max_rel_peak mean_ratio_peak rms_flux_peak dynamic_range mean_rel_curl_peak
3.16 9.863860e-01 8.378787e-01 1.332598e-01 1.332614e-01 8.667402e-01 3.532776e-09 7.514080e+00 1.332598e-01
3.17 9.861982e-01 8.376904e-01 1.943853e-01 1.943879e-01 8.056147e-01 5.146514e-09 7.516712e+00 1.943853e-01
3.18 9.864009e-01 8.377970e-01 2.064896e-01 2.064924e-01 7.935104e-01 5.462959e-09 7.519699e+00 2.064896e-01
3.19 9.866355e-01 8.379728e-01 1.283686e-01 1.283693e-01 8.716314e-01 3.535104e-09 7.775044e+00 1.283686e-01
3.20 9.861840e-01 8.378485e-01 1.517274e-01 1.517327e-01 8.482726e-01 4.258056e-09 7.967396e+00 1.517274e-01
3.21 9.863047e-01 8.378742e-01 1.301621e-01 1.301667e-01 8.698379e-01 3.527434e-09 7.649512e+00 1.301621e-01
3.22 9.860614e-01 8.376622e-01 1.194777e-01 1.194792e-01 8.805223e-01 3.120162e-09 7.459198e+00 1.194777e-01
3.23 9.861294e-01 8.377391e-01 1.529121e-01 1.529125e-01 8.470879e-01 4.033247e-09 7.459674e+00 1.529121e-01
3.24 9.866248e-01 8.380189e-01 1.890759e-01 1.890785e-01 8.109241e-01 5.130532e-09 7.646259e+00 1.890759e-01
3.25 9.863956e-01 8.378945e-01 2.384165e-01 2.384175e-01 7.615835e-01 6.286229e-09 7.404446e+00 2.384165e-01
3.26 9.865836e-01 8.380677e-01 1.456340e-01 1.456350e-01 8.543660e-01 3.893094e-09 7.716074e+00 1.456340e-01
3.27 9.865035e-01 8.379584e-01 1.580938e-01 1.580966e-01 8.419062e-01 4.254464e-09 7.584717e+00 1.580938e-01
3.28 9.867134e-01 8.381192e-01 1.957774e-01 1.957801e-01 8.042226e-01 5.261718e-09 7.800003e+00 1.957774e-01
3.29 9.866685e-01 8.380135e-01 1.279422e-01 1.279425e-01 8.720578e-01 3.474816e-09 7.715668e+00 1.279422e-01
3.30 9.867001e-01 8.380079e-01 1.281090e-01 1.281100e-01 8.718910e-01 3.488802e-09 7.747880e+00 1.281090e-01
3.31 9.867695e-01 8.381089e-01 1.282235e-01 1.282261e-01 8.717765e-01 3.497835e-09 7.801484e+00 1.282235e-01
3.32 9.867228e-01 8.381267e-01 1.283112e-01 1.283126e-01 8.716888e-01 3.504006e-09 7.795208e+00 1.283112e-01
3.33 9.868028e-01 8.381616e-01 1.283649e-01 1.283688e-01 8.716351e-01 3.507976e-09 7.688952e+00 1.283649e-01
3.34 9.867826e-01 8.380657e-01 1.283937e-01 1.283942e-01 8.716063e-01 3.510406e-09 7.747051e+00 1.283937e-01
3.35 9.868648e-01 8.381674e-01 1.284215e-01 1.284224e-01 8.715785e-01 3.512218e-09 7.796328e+00 1.284215e-01
3.36 9.867397e-01 8.380827e-01 1.284487e-01 1.284518e-01 8.715513e-01 3.513736e-09 7.676867e+00 1.284487e-01
3.37 9.867310e-01 8.381003e-01 1.284564e-01 1.284572e-01 8.715436e-01 3.514399e-09 7.860789e+00 1.284564e-01
3.38 9.868072e-01 8.380837e-01 1.284602e-01 1.284645e-01 8.715398e-01 3.514861e-09 7.684885e+00 1.284602e-01
3.39 9.868883e-01 8.381688e-01 1.284698e-01 1.284720e-01 8.715302e-01 3.515356e-09 7.604955e+00 1.284698e-01
3.40 9.866707e-01 8.380593e-01 1.284722e-01 1.284735e-01 8.715278e-01 3.515552e-09 7.748619e+00 1.284722e-01
3.41 9.867177e-01 8.381020e-01 1.284702e-01 1.284708e-01 8.715298e-01 3.515623e-09 7.714416e+00 1.284702e-01
3.42 9.866708e-01 8.380138e-01 1.284779e-01 1.284789e-01 8.715221e-01 3.515896e-09 7.755255e+00 1.284779e-01
3.43 9.867305e-01 8.381039e-01 1.284772e-01 1.284792e-01 8.715228e-01 3.515924e-09 7.805234e+00 1.284772e-01
3.44 9.867450e-01 8.381313e-01 1.284798e-01 1.284807e-01 8.715202e-01 3.516047e-09 7.772535e+00 1.284798e-01
3.45 9.866903e-01 8.380229e-01 1.284809e-01 1.284826e-01 8.715191e-01 3.516134e-09 7.871225e+00 1.284809e-01
3.46 9.867365e-01 8.380906e-01 1.284750e-01 1.284789e-01 8.715250e-01 3.515919e-09 7.597977e+00 1.284750e-01
3.47 9.866759e-01 8.380141e-01 1.284814e-01 1.284827e-01 8.715186e-01 3.516132e-09 7.656692e+00 1.284814e-01
3.48 9.866639e-01 8.380502e-01 1.284775e-01 1.284797e-01 8.715225e-01 3.515988e-09 7.761857e+00 1.284775e-01
3.49 9.866827e-01 8.380291e-01 1.284768e-01 1.284780e-01 8.715232e-01 3.516044e-09 7.782813e+00 1.284768e-01
3.50 9.866816e-01 8.380054e-01 1.284796e-01 1.284805e-01 8.715204e-01 3.516066e-09 7.819533e+00 1.284796e-01
