# mu freq sigma_L0 sigma_L1 sigma_L2 diff_L1 diff_L2
2.3 0.0426292 0.00376547 0.003567 0.00356702 0.00019847 0.00019845
2.3 0.0429967 0.0036932 0.00364131 0.00364033 5.189e-05 5.287e-05
2.3 0.0433642 0.00397942 0.00383872 0.00383826 0.0001407 0.00014116
2.3 0.0437317 0.00400927 0.00385401 0.00385435 0.00015526 0.00015492
2.3 0.0440992 0.00413224 0.00401385 0.00401159 0.00011839 0.00012065
2.3 0.0444667 0.00418068 0.00404932 0.00405131 0.00013136 0.00012937
2.3 0.0448342 0.00398011 0.00396357 0.00396235 1.654e-05 1.776e-05
2.3 0.0452017 0.00396181 0.00407847 0.00407925 -0.00011666 -0.00011744
2.3 0.0455692 0.00392312 0.00407575 0.00407755 -0.00015263 -0.00015443
2.3 0.0459367 0.00435114 0.00447585 0.00447426 -0.00012471 -0.00012312
2.3 0.0463042 0.00444573 0.00448744 0.00449012 -4.171e-05 -4.439e-05
2.3 0.0466716 0.00457939 0.00445969 0.00445813 0.0001197 0.00012126
2.3 0.0470391 0.00457286 0.00437798 0.00437819 0.00019488 0.00019467
2.3 0.0474066 0.00466495 0.00454217 0.00454218 0.00012278 0.00012277
2.3 0.0477741 0.00491721 0.00494999 0.00494755 -3.278e-05 -3.034e-05
2.3 0.0481416 0.00497492 0.00492932 0.00492916 4.56e-05 4.576e-05
2.3 0.0485091 0.00532459 0.00498638 0.00498586 0.00033821 0.00033873
2.3 0.0488766 0.00525353 0.0048604 0.00486013 0.00039313 0.0003934
2.3 0.0492441 0.00539975 0.00511382 0.00511346 0.00028593 0.00028629
2.3 0.0496116 0.00531918 0.00521058 0.0052132 0.0001086 0.00010598
2.3 0.0499791 0.00541825 0.00546586 0.0054644 -4.761e-05 -4.615e-05
2.3 0.0503466 0.00554534 0.00559666 0.00559901 -5.132e-05 -5.367e-05
2.3 0.0507141 0.00557153 0.00563452 0.00563537 -6.299e-05 -6.384e-05
2.3 0.0510816 0.00593851 0.00610701 0.00610403 -0.0001685 -0.00016552
2.3 0.0514491 0.00591269 0.00599053 0.00599491 -7.784e-05 -8.222e-05
2.3 0.0518165 0.00631857 0.0061157 0.00611175 0.00020287 0.00020682
2.3 0.052184 0.00635374 0.00593366 0.00593378 0.00042008 0.00041996
2.3 0.0525515 0.0066398 0.0060207 0.00602193 0.0006191 0.00061787
2.3 0.052919 0.00671174 0.00618703 0.00618276 0.00052471 0.00052898
2.3 0.0532865 0.00654896 0.00631699 0.00631856 0.00023197 0.0002304
